full_smiles,rejection
CCCCCCC.COC1=CC=C(OC)C=C1,-0.033364613
CC(OCC)=O.OC(CC1=C(C=CC=C1)NC2=C(C=CC=C2Cl)Cl)=O,0.143540094
O.CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C,0.9264
CO.C(CBr)Br,0.111
CC#N.CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C)(C)C5=CC=CC=C5,0.896
CO.OC1=C(O)C=C2C(C(C)(C)CC23C(C=C(O)C(O)=C4)=C4C(C)(C)C3)=C1,1.0
CO.C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,1.0
CCCCCCC.CCCCCCCCCCCCCCCC,0.487
O.O=C[C@@H]([C@H]([C@H]([C@@H](CO)O)O)O)O,0.9954
CO.O=C(C1=CC=C(C)C(C)=C1)C2=CC=CC=C2,0.85
CC(C)=O.CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C)(C)C7=CC=CC=C7,0.843
CO.CN1C(CCC1)C2=CN=CC=C2,0.99
CCCCCCC.C1=CC=C2C3C4=CC=CC=C4C(C2=C1)C5=CC=CC=C35,0.062054829
CCCCCCC.Brc1cc(Br)cc(Br)c1,-0.00856704
CO.CC1=CC(=C(C(=C1)O)C)C,0.75
CC(C)=O.CC1=CN=C(C=C1)C2=NC=C(C=C2)C,0.666377989
N#CC.C1=CC2=C(C=CN2)C(=C1)Cl,0.13574255
O.CC1=C(N=C(N=C1OC(=O)N(C)C)N(C)C)C,1.0
O.C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.9979
O.C=C(Cl)Cl,0.223
O.C1=CC(=C(C=C1O)O)C(=O)O,0.8903
CO.C1=C(C(=CC(=C1Br)F)Br)F,0.58
O.C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,0.908
O.CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,0.608
CO.CC1=CC(=C(C=C1)C)C,0.48
O.C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],0.9693
O.CC(CCl)Cl,0.676
CC(OCC)=O.CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C)(C)C9=CC=CC=C9,1.0
CO.CCN1C=C(C(C2=CC(F)=C(N3CCNCC3)N=C12)=O)C(O)=O,1.0
CC(C)=O.CCCC1=CC=CC=C1,-0.009289754
CO.NC(C1=CC=CC=C12)=C(C)C=C2C3=CC(C)=C(N)C4=CC=CC=C34,1.0
CCO.CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC,0.600057754
CC#N.CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C)(C)C9=CC=CC=C9,0.957
CO.FC1=C(Br)C=C(F)C(Br)=C1,0.58
CO.C1=CC(=CC=C1C#N)C2=CC=C(C=C2)C#N,0.85
CC(C)(C)OC.CC1=C(OC)C=C(C)C(Br)=C1,0.086267638
N#CC.C1=CC2=C(C=CC(=C2)I)N=C1,0.480033451
CC1=CC=CC=C1.O=C(OC)C(C)(CC(C)(CC(C)C(OC)=O)C(OC)=O)C,0.607
O.CC(CCl)Cl,0.42
CCO.CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(CC(C(C)(C)C(C4=CC=CC=C4)(C)C)C5=CC=CC=C5)C6=CC=CC=C6,0.301
CO.CC(=O)C1=NC(=CC=C1)C(=O)C,0.75
CO.CCN1C=C(C(C2=CC(F)=C(N3CCNCC3)N=C12)=O)C(O)=O,1.0
CC1=CC=CC=C1.CCCCCCCCCCCC,0.284
CC(O)C.CCC(C(=O)O)c1ccccc1,0.069791236
CC1=CC=CC=C1.CCCCCCCCCCCCCC,0.81
CC1=CC=CC=C1.CC1=CC=CC2=CC=CC=C12,0.130650687
CC1=CC=CC=C1.CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C)(C)C4=CC=CC=C4,0.93
O.CCO,0.31711
N#CC.N#CC1=CC(F)=CC(F)=C1,0.824840266
CCO.CCCCCCCCCCCCCCCC,-0.454
CCO.COC1=CC=C(Br)C=C1,-0.032171966
O.C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,0.915
CC(C)=O.CC(OCC(C)OCC(C)O)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.95
O.C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3(C(C(C(O3)CO)O)O)CO)O)O)O)O)O)O)O,0.967
CCCCCCC.NC1=CC=CC(F)=C1,-0.085634956
C1CCCO1.[H][C@@]1([C@@H](C2=CC=NC3=CC=C(C=C23)O)OCC4=CC(CO[C@H](C5=CC=NC6=CC=C(C=C56)O)[C@@]7(C[C@@H]8CC[N@]7C[C@@H]8C=C)[H])=CC(CO[C@H](C9=CC=NC%10=CC=C(C=C9%10)O)[C@@]%11(C[C@@H]%12CC[N@]%11C[C@@H]%12C=C)[H])=C4)C[C@@H]%13CC[N@]1C[C@@H]%13C=C,1.0
O.CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O,0.996
N#CC.CC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)C,0.928815637
CC1=CC=CC=C1.CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C9=CC=CC=C9)CC(C)(C)C%10=CC=CC=C%10,0.982
CO.C1CCN(C1)c2cc[nH+]cc2,0.9
CC1CCCO1.C1=CC=C2C(=C1)C(=O)N(C2=O)O,0.742499749
CC1=CC=CC=C1.O=C1CC(C2=CC=CC=C2)OC3=C1C=CC=C3,0.255622848
CC#N.CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C9=CC=CC=C9)CC(C%10=CC=CC=C%10)CC(C%11=CC=CC=C%11)CC(C)(C)C%12=CC=CC=C%12,0.9
N#CC.C1=C2C(=CC(=C1Cl)Cl)N=CN2,0.617122604
O.C(C(C(C(CO)O)O)O)O,0.997
CO.P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,0.999
O.CC(C)(C)C1=NN=C(N(C1=O)N)SC,0.941
CCO.CCCCCCCCCC,0.775
O.CCN(CC)CCOC(=O)C1=CC=C(C=C1)N,0.86
CC#N.CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C9=CC=CC=C9)CC(C%10=CC=CC=C%10)CC(C)(C)C%11=CC=CC=C%11,0.991
O.CC(C)C1=CC=CC=C1O,0.21
CO.N[C@H](C)C1CCCCC1,0.98
CC(C)(C)OC.C1=CC=NC(=C1)N,-0.060515833
CC1=CC=CC=C1.CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C9=CC=CC=C9)CC(C%10=CC=CC=C%10)CC(C)(C)C%11=CC=CC=C%11,0.94
CC(C)(C)OC.OC1=CC=C(NC(C)=O)C=C1,0.0403858
O.CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)CS(=O)(=O)[O-].[Na+],0.8851
O.CN1C=NC2=C1C(=O)N(C(=O)N2C)C,0.768330916
CCCCCCC.CN(C=O)C1=CC=CC=C1,0.017119184
CO.C1(C2=CC=CC=C2)=NC=CN1,0.91
CO.OC1CCCC2=C1C=CC=C2,0.79
O.CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O,0.95
CC(C)=O.CC(OCC(C)OCC(C)O)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.95
CC1=CC=CC=C1.c1ccc(cc1)P(c2ccccc2)c3ccc4ccccc4c3c5c6ccccc6ccc5P(c7ccccc7)c8ccccc8,0.805
CC1=CC=CC=C1.CC1=C(OC)C=C(C)C(Br)=C1,0.141632104
CO.O=C1N(C2=CC=C(S(=O)(O)=O)C=C2)N=C(C(O)=O)C1N=NC3=CC=C(S(=O)(O)=O)C=C3,1.0
O.C1=CC(=C(C=C1Cl)Cl)O,0.3188
CO.OC1=C(O)C=C2C=CC=CC2=C1,0.87
N#CC.C1=CC=C(C=C1)N,0.588559525
CO.CCCC(CO1)OC1(C2=C(Cl)C=C(Cl)C=C2)CN3N=CN=C3,0.98
CC#N.C=C(C1=CC=CC=C1)CC(C)(C)C2=CC=CC=C2,0.789
O.C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,0.9639
CO.O=C(C)NC1=CC=C(O)C=C1,0.69
CC(OCC)=O.CC(C)OC1=CC=CC=C1C=[Ru](Cl)Cl.C1CCC(CC1)P(C2CCCCC2)C3CCCCC3,0.96
CC(C)=O.CC(OCC(C)OCC(C)O)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.962
O.C1=CC(=CC=C1C(=O)O)O,0.992
CO.C12=CC=CC=C1NC=N2,0.78
CC1CCCO1.COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O,0.351755086
CC#N.CC1=CC(=CC(=C1N)S(=O)(=O)[O-])/C(=C\2/C=CC(=[NH2+])C(=C2)S(=O)(=O)[O-])/C3=CC(=C(C=C3)N)S(=O)(=O)[O-].[Na+].[Na+],0.995
CO.C1=CC=C2C=CC=CC2=C1,0.3
CC#N.CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C9=CC=CC=C9)CC(C%10=CC=CC=C%10)CC(C%11=CC=CC=C%11)CC(C%12=CC=CC=C%12)CC(C%13=CC=CC=C%13)CC(C)(C)C%14=CC=CC=C%14,0.91
CO.O=C(N1C2=CC=CC=C2)C=CC1=O,0.54
CCCCCCC.COc1ccc(I)cc1,0.038792698
CC(C)(C)OC.Nc1ccc2[nH]ccc2c1,-0.412649664
CO.OC1CCCC2=C1C=CC=C2,0.87
